2020-06-07 21:20:15,478 INFO [main] edu.mum.cs522.project1.part2.PairAlgo$Map: <((A10, B12), 1), ((A10, *), 1)>
2020-06-07 21:20:15,479 INFO [main] edu.mum.cs522.project1.part2.PairAlgo$Map: <((A10, D76), 1), ((A10, *), 1)>
2020-06-07 21:20:15,479 INFO [main] edu.mum.cs522.project1.part2.PairAlgo$Map: <((A10, C31), 1), ((A10, *), 1)>
2020-06-07 21:20:15,479 INFO [main] edu.mum.cs522.project1.part2.PairAlgo$Map: <((A10, B11), 1), ((A10, *), 1)>
2020-06-07 21:20:15,479 INFO [main] edu.mum.cs522.project1.part2.PairAlgo$Map: <((B12, D76), 1), ((B12, *), 1)>
2020-06-07 21:20:15,479 INFO [main] edu.mum.cs522.project1.part2.PairAlgo$Map: <((B12, C31), 1), ((B12, *), 1)>
2020-06-07 21:20:15,479 INFO [main] edu.mum.cs522.project1.part2.PairAlgo$Map: <((B12, B11), 1), ((B12, *), 1)>
2020-06-07 21:20:15,479 INFO [main] edu.mum.cs522.project1.part2.PairAlgo$Map: <((D76, C31), 1), ((D76, *), 1)>
2020-06-07 21:20:15,479 INFO [main] edu.mum.cs522.project1.part2.PairAlgo$Map: <((D76, B11), 1), ((D76, *), 1)>
2020-06-07 21:20:15,480 INFO [main] edu.mum.cs522.project1.part2.PairAlgo$Map: <((C31, B11), 1), ((C31, *), 1)>
2020-06-07 21:20:15,480 INFO [main] edu.mum.cs522.project1.part2.PairAlgo$Map: <((A10, D76), 1), ((A10, *), 1)>
2020-06-07 21:20:15,480 INFO [main] edu.mum.cs522.project1.part2.PairAlgo$Map: <((A10, D76), 1), ((A10, *), 1)>
2020-06-07 21:20:15,480 INFO [main] edu.mum.cs522.project1.part2.PairAlgo$Map: <((A10, B12), 1), ((A10, *), 1)>
2020-06-07 21:20:15,480 INFO [main] edu.mum.cs522.project1.part2.PairAlgo$Map: <((A10, B11), 1), ((A10, *), 1)>
2020-06-07 21:20:15,480 INFO [main] edu.mum.cs522.project1.part2.PairAlgo$Map: <((A10, C31), 1), ((A10, *), 1)>
2020-06-07 21:20:15,480 INFO [main] edu.mum.cs522.project1.part2.PairAlgo$Map: <((A10, D76), 1), ((A10, *), 1)>
2020-06-07 21:20:15,480 INFO [main] edu.mum.cs522.project1.part2.PairAlgo$Map: <((A10, B12), 1), ((A10, *), 1)>
